Strain,Biolector well,Biolector column,Biolector row,Cycle,Time,Feeding time,Volume,Accum. feed [uL],Biomass concentration [light scatter],DO%,Sample volume
Yeast_strain_3,F05,05,F,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.849999904632568,147.5800018310547,0.0
Yeast_strain_3,F06,06,F,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.4100000858306885,148.25999450683594,0.0
Yeast_strain_1,C01,01,C,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,2.880000114440918,147.97999572753906,0.0
Yeast_strain_1,C02,02,C,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,2.7699999809265137,148.0399932861328,0.0
Yeast_strain_2,C03,03,C,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,2.950000047683716,148.0399932861328,0.0
Yeast_strain_2,C04,04,C,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,2.880000114440918,147.7100067138672,0.0
Yeast_strain_3,C05,05,C,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.109999895095825,148.02000427246094,0.0
Yeast_strain_3,C06,06,C,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,2.940000057220459,147.27999877929688,0.0
Yeast_strain_1,D01,01,D,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.180000066757202,147.97999572753906,0.0
Yeast_strain_1,D02,02,D,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.240000009536743,147.75,0.0
Yeast_strain_2,D03,03,D,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.2699999809265137,147.85000610351562,0.0
Yeast_strain_2,D04,04,D,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.3299999237060547,148.0800018310547,0.0
Yeast_strain_3,D05,05,D,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.4100000858306885,147.39999389648438,0.0
Yeast_strain_3,D06,06,D,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.559999942779541,147.19000244140625,0.0
Yeast_strain_1,E01,01,E,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.609999895095825,148.66000366210938,0.0
Yeast_strain_1,E02,02,E,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.440000057220459,147.8000030517578,0.0
Yeast_strain_2,E03,03,E,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.549999952316284,148.05999755859375,0.0
Yeast_strain_2,E04,04,E,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.569999933242798,148.42999267578125,0.0
Yeast_strain_3,E05,05,E,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.740000009536743,148.41000366210938,0.0
Yeast_strain_3,E06,06,E,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.7899999618530273,147.5,0.0
Yeast_strain_1,F01,01,F,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.490000009536743,149.32000732421875,0.0
Yeast_strain_1,F02,02,F,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.5,148.39999389648438,0.0
Yeast_strain_2,F03,03,F,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.849999904632568,148.2899932861328,0.0
Yeast_strain_2,F04,04,F,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.619999885559082,148.41000366210938,0.0
Yeast_strain_3,F05,05,F,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.890000104904175,147.72999572753906,0.0
Yeast_strain_3,F06,06,F,151.0,15.102800369262695,0.8000001907348633,801.12,1.12,3.430000066757202,148.3000030517578,0.0
Yeast_strain_1,C01,01,C,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,2.990000009536743,148.2100067138672,0.0
Yeast_strain_1,C02,02,C,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,2.900000095367432,147.9499969482422,0.0
Yeast_strain_2,C03,03,C,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,2.8499999046325684,148.10000610351562,0.0
Yeast_strain_2,C04,04,C,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,2.8499999046325684,147.94000244140625,0.0
Yeast_strain_3,C05,05,C,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.049999952316284,148.0800018310547,0.0
Yeast_strain_3,C06,06,C,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,2.9100000858306885,147.32000732421875,0.0
Yeast_strain_1,D01,01,D,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.109999895095825,148.27000427246094,0.0
Yeast_strain_1,D02,02,D,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.2699999809265137,147.50999450683594,0.0
Yeast_strain_2,D03,03,D,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.299999952316284,147.6999969482422,0.0
Yeast_strain_2,D04,04,D,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.309999942779541,147.8300018310547,0.0
Yeast_strain_3,D05,05,D,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.4200000762939453,147.2899932861328,0.0
Yeast_strain_3,D06,06,D,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.569999933242798,147.5800018310547,0.0
Yeast_strain_1,E01,01,E,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.650000095367432,148.10000610351562,0.0
Yeast_strain_1,E02,02,E,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.5299999713897705,148.0800018310547,0.0
Yeast_strain_2,E03,03,E,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.539999961853028,147.52999877929688,0.0
Yeast_strain_2,E04,04,E,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.609999895095825,147.72999572753906,0.0
Yeast_strain_3,E05,05,E,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.740000009536743,148.27000427246094,0.0
Yeast_strain_3,E06,06,E,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.7699999809265137,147.91000366210938,0.0
Yeast_strain_1,F01,01,F,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.450000047683716,149.00999450683594,0.0
