Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,m_CO2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,mu_true
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.43543543543544,36.67949769396749,6456.759511053567,5150.943596449589,0.0,489.42148029922424,169.4214802992242,413.56630665899917,0.0749446012699366,13.192636144833713,10.524555631069537,0.0,0.09995074455688144
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.4954954954955,36.790474269522456,6495.624653633622,5182.871709317594,0.0,490.14159520271085,170.1415952027108,415.32275196815027,0.07506091021372466,13.25254725820033,10.57423356851418,0.0,0.10005412775916246
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.55555555555556,36.80207116017983,6534.778002990817,5215.03658700618,0.0,490.86604813472553,170.86604813472547,417.0922223019936,0.0749737556712803,13.312752079355974,10.624154200159378,0.0,0.09997666898644118
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.61561561561561,36.8576546321796,6574.143476417613,5247.375726791508,0.0,491.59486522784124,171.59486522784118,418.871279229434,0.07497567049464005,13.373092237996975,10.67418742130166,0.0,0.09997837143429202
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.67567567567568,36.95448233915916,6613.723977349852,5279.8915138758775,0.0,492.3280727721575,172.32807277215744,420.6600539664129,0.07506068490281109,13.433570708470631,10.724335673459224,0.0,0.10005392759098489
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.73573573573574,36.951822710221165,6653.597006550248,5312.647615929978,0.0,493.0656972160754,173.06569721607536,422.46204903066405,0.07494300033211969,13.494341715754063,10.774725652029744,0.0,0.09994932078989242
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.7957957957958,37.05094303612462,6693.65520914411,5345.555839824223,0.0,493.8077651673209,173.80776516732084,424.2724126976462,0.07503110653509135,13.555184185643666,10.82517574022544,0.0,0.10002764643126039
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.85585585585585,37.09421324682473,6733.985237498222,5378.687371365823,0.0,494.554303393979,174.5543033939789,426.0950610765785,0.0750053391351732,13.616270632536983,10.875827658264203,0.0,0.10000474578531668
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.91591591591592,37.125270328859074,6774.564959686852,5412.024028951011,0.0,495.30533882528897,175.30533882528889,427.9289939519836,0.0749543108437085,13.677552872242451,10.926641820148069,0.0,0.09995937916804516
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.97597597597598,37.2390850634235,6815.344504560318,5445.524842919311,0.0,496.06089855279373,176.06089855279367,429.7719574804147,0.07506958353715174,13.738927064083017,10.977532917442325,0.0,0.10006183291056762
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.03603603603604,37.237665306070525,6856.432368127213,5479.278943853504,0.0,496.8210098312078,176.8210098312077,431.62885495805705,0.07495187314788039,13.800608735239775,11.028678005616266,0.0,0.09995721142354037
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.0960960960961,37.32460211147495,6897.719983269598,5513.197142753752,0.0,497.58570007939596,177.58570007939588,433.4947798750569,0.07501140427773417,13.862375832281717,11.07989466311844,0.0,0.10001013662198215
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.15615615615616,37.38761041169753,6939.2695356524955,5547.330525781065,0.0,498.3549968814817,178.3549968814817,435.37254260884697,0.07502204381546317,13.924350270541755,11.131283042197179,0.0,0.10001959258309932
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.21621621621622,37.408840859259634,6981.09217358262,5581.688251383645,0.0,499.12892798766467,179.1289279876646,437.2626469885589,0.07494825236854263,13.986550933299439,11.18285865314861,0.0,0.09995399152390605
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.27627627627628,37.52691016685215,7023.114478157288,5616.210005180638,0.0,499.907521315372,179.9075213153719,439.16177496931596,0.0750677046588741,14.04882739046985,11.234497913540277,0.0,0.10006016381512994
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.33633633633634,37.529568400985056,7065.452697210672,5650.991285958968,0.0,500.6908049502009,180.69080495020083,441.07518017813385,0.07495557743409682,14.111408932132091,11.286389184880317,0.0,0.09996050547720588
